=======================================================
DeepXplore Differential Testing — Summary
=======================================================

[Configuration]
  Model A checkpoint : models/model_a_best.pth
  Model B checkpoint : models/model_b_best.pth
  Seeds tested       : 300
  #42  true=automobile    model_a=automobile    model_b=ship        
  #43  true=horse         model_a=ship          model_b=horse       
  #44  true=cat           model_a=deer          model_b=cat         
  #45  true=truck         model_a=truck         model_b=automobile  
  #46  true=truck         model_a=truck         model_b=automobile  
  #47  true=airplane      model_a=truck         model_b=airplane    
  #48  true=truck         model_a=truck         model_b=automobile  
  #49  true=dog           model_a=cat           model_b=dog         
  #50  true=horse         model_a=dog           model_b=horse       
  #51  true=dog           model_a=dog           model_b=cat         
  #52  true=ship          model_a=truck         model_b=ship        
  #53  true=ship          model_a=ship          model_b=automobile  
  #54  true=cat           model_a=automobile    model_b=cat         
  #55  true=airplane      model_a=cat           model_b=airplane    
  #56  true=deer          model_a=cat           model_b=deer        
  #57  true=bird          model_a=frog          model_b=bird        
  #58  true=bird          model_a=dog           model_b=bird        
  #59  true=frog          model_a=cat           model_b=frog        
  #60  true=dog           model_a=dog           model_b=cat         
  #61  true=truck         model_a=ship          model_b=truck       
  #62  true=automobile    model_a=deer          model_b=automobile  
  #63  true=truck         model_a=truck         model_b=automobile  
  #64  true=automobile    model_a=frog          model_b=automobile  
  #65  true=airplane      model_a=airplane      model_b=ship        
  #66  true=frog          model_a=ship          model_b=frog        
  #67  true=horse         model_a=horse         model_b=dog         
  #68  true=deer          model_a=deer          model_b=bird        
  #69  true=dog           model_a=dog           model_b=cat         
  #70  true=deer          model_a=deer          model_b=bird        
  #71  true=frog          model_a=frog          model_b=bird        
  #72  true=horse         model_a=dog           model_b=horse       
  #73  true=horse         model_a=horse         model_b=deer        
  #74  true=horse         model_a=dog           model_b=horse       
  #75  true=cat           model_a=dog           model_b=cat         
  #76  true=dog           model_a=dog           model_b=deer        
  #77  true=horse         model_a=horse         model_b=deer        
  #78  true=dog           model_a=dog           model_b=cat         
  #79  true=truck         model_a=automobile    model_b=truck       
  #80  true=horse         model_a=bird          model_b=horse       
  #81  true=dog           model_a=dog           model_b=cat         
  #82  true=deer          model_a=deer          model_b=horse       
  #83  true=horse         model_a=horse         model_b=dog         
  #84  true=truck         model_a=ship          model_b=truck       
  #85  true=dog           model_a=dog           model_b=cat         
  #86  true=horse         model_a=horse         model_b=truck       
  #87  true=truck         model_a=ship          model_b=truck       
  #88  true=dog           model_a=cat           model_b=dog         
  #89  true=deer          model_a=deer          model_b=airplane    
  #90  true=automobile    model_a=frog          model_b=automobile  
  #91  true=frog          model_a=automobile    model_b=frog        
  #92  true=dog           model_a=cat           model_b=dog         
  #93  true=horse         model_a=horse         model_b=dog         
  #94  true=horse         model_a=horse         model_b=dog         
  #95  true=frog          model_a=frog          model_b=cat         
  #96  true=airplane      model_a=airplane      model_b=ship        
  #97  true=horse         model_a=truck         model_b=horse       
  #98  true=horse         model_a=bird          model_b=horse       
  #99  true=airplane      model_a=airplane      model_b=dog         
  #100  true=bird          model_a=bird          model_b=horse       
  #101  true=bird          model_a=bird          model_b=frog        
  #102  true=truck         model_a=automobile    model_b=truck       
  #103  true=truck         model_a=automobile    model_b=truck       
  #104  true=truck         model_a=airplane      model_b=truck       
  #105  true=automobile    model_a=automobile    model_b=truck       
  #106  true=airplane      model_a=airplane      model_b=bird        
  #107  true=deer          model_a=deer          model_b=bird        
  #108  true=deer          model_a=deer          model_b=cat         
  #109  true=deer          model_a=deer          model_b=horse       
  #110  true=frog          model_a=frog          model_b=cat         
  #111  true=airplane      model_a=airplane      model_b=ship        
  #112  true=cat           model_a=dog           model_b=cat         
  #113  true=automobile    model_a=frog          model_b=automobile  
  #114  true=airplane      model_a=ship          model_b=airplane    
  #115  true=truck         model_a=truck         model_b=automobile  
  #116  true=airplane      model_a=airplane      model_b=bird        
  #117  true=dog           model_a=deer          model_b=dog         
  #118  true=airplane      model_a=airplane      model_b=truck       
  #119  true=cat           model_a=dog           model_b=deer        
  #120  true=truck         model_a=automobile    model_b=truck       
  #121  true=bird          model_a=bird          model_b=frog        
  #122  true=frog          model_a=frog          model_b=deer        
  #123  true=ship          model_a=truck         model_b=ship        
  #124  true=automobile    model_a=automobile    model_b=cat         
  #125  true=automobile    model_a=frog          model_b=automobile  
  #126  true=cat           model_a=cat           model_b=dog         
  #127  true=truck         model_a=airplane      model_b=truck       
  #128  true=automobile    model_a=airplane      model_b=automobile  
  #129  true=deer          model_a=cat           model_b=deer        
  #130  true=cat           model_a=frog          model_b=cat         
  #131  true=deer          model_a=deer          model_b=frog        
  #132  true=airplane      model_a=truck         model_b=cat         
  #133  true=ship          model_a=ship          model_b=airplane    
  #134  true=airplane      model_a=airplane      model_b=ship        
  #135  true=automobile    model_a=dog           model_b=automobile  
  #136  true=airplane      model_a=bird          model_b=airplane    
  #137  true=airplane      model_a=airplane      model_b=bird        
  #138  true=deer          model_a=deer          model_b=dog         
  #139  true=automobile    model_a=dog           model_b=automobile  
  #140  true=cat           model_a=frog          model_b=cat         
  #141  true=horse         model_a=dog           model_b=horse       
  #142  true=dog           model_a=dog           model_b=cat         
  #143  true=frog          model_a=frog          model_b=cat         
  #144  true=cat           model_a=dog           model_b=cat         
  #145  true=airplane      model_a=cat           model_b=airplane    
  #146  true=airplane      model_a=ship          model_b=airplane    
  #147  true=horse         model_a=horse         model_b=dog         
  #148  true=truck         model_a=automobile    model_b=truck       
  #149  true=ship          model_a=ship          model_b=airplane    
  #150  true=automobile    model_a=automobile    model_b=truck       
  #151  true=dog           model_a=dog           model_b=cat         
  #152  true=frog          model_a=frog          model_b=cat         
  #153  true=automobile    model_a=bird          model_b=automobile  
  #154  true=dog           model_a=cat           model_b=dog         
  #155  true=truck         model_a=horse         model_b=truck       
  #156  true=deer          model_a=deer          model_b=bird        
  #157  true=truck         model_a=truck         model_b=bird        
  #158  true=ship          model_a=ship          model_b=airplane    
  #159  true=horse         model_a=horse         model_b=dog         
  #160  true=horse         model_a=horse         model_b=cat         
  #161  true=cat           model_a=cat           model_b=dog         
  #162  true=dog           model_a=dog           model_b=bird        
  #163  true=bird          model_a=airplane      model_b=bird        
  #164  true=horse         model_a=horse         model_b=dog         
  #165  true=ship          model_a=ship          model_b=airplane    
  #166  true=deer          model_a=deer          model_b=bird        
  #167  true=dog           model_a=dog           model_b=cat         
  #168  true=ship          model_a=airplane      model_b=ship        
  #169  true=bird          model_a=bird          model_b=airplane    
  #170  true=deer          model_a=deer          model_b=airplane    
  #171  true=airplane      model_a=airplane      model_b=automobile  
  #172  true=automobile    model_a=ship          model_b=automobile  
  #173  true=automobile    model_a=automobile    model_b=truck       
  #174  true=frog          model_a=truck         model_b=frog        
  #175  true=automobile    model_a=automobile    model_b=cat         
  #176  true=dog           model_a=dog           model_b=horse       
  #177  true=dog           model_a=dog           model_b=cat         
  #178  true=bird          model_a=deer          model_b=bird        
  #179  true=truck         model_a=automobile    model_b=truck       
  #180  true=truck         model_a=truck         model_b=cat         
  #181  true=truck         model_a=truck         model_b=automobile  
  #182  true=ship          model_a=ship          model_b=truck       
  #183  true=bird          model_a=bird          model_b=deer        
  #184  true=dog           model_a=dog           model_b=frog        
  #185  true=bird          model_a=bird          model_b=cat         
  #186  true=ship          model_a=truck         model_b=ship        
  #187  true=airplane      model_a=airplane      model_b=deer        
  #188  true=ship          model_a=airplane      model_b=ship        
  #189  true=dog           model_a=bird          model_b=dog         
  #190  true=deer          model_a=deer          model_b=dog         
  #191  true=airplane      model_a=airplane      model_b=deer        
  #192  true=horse         model_a=horse         model_b=deer        
  #193  true=deer          model_a=frog          model_b=deer        
  #194  true=dog           model_a=deer          model_b=dog         
  #195  true=frog          model_a=frog          model_b=cat         
  #196  true=bird          model_a=bird          model_b=frog        
  #197  true=deer          model_a=deer          model_b=airplane    
  #198  true=dog           model_a=dog           model_b=cat         
  #199  true=ship          model_a=ship          model_b=airplane    
  #200  true=ship          model_a=bird          model_b=ship        
  #201  true=airplane      model_a=bird          model_b=airplane    
  #202  true=truck         model_a=truck         model_b=horse       
  #203  true=ship          model_a=automobile    model_b=ship        
  #204  true=bird          model_a=bird          model_b=cat         
  #205  true=horse         model_a=horse         model_b=dog         
  #206  true=automobile    model_a=truck         model_b=automobile  
  #207  true=cat           model_a=bird          model_b=cat         
  #208  true=automobile    model_a=truck         model_b=automobile  
  #209  true=bird          model_a=bird          model_b=frog        
  #210  true=frog          model_a=frog          model_b=deer        
  #211  true=bird          model_a=bird          model_b=deer        
  #212  true=frog          model_a=deer          model_b=frog        
  #213  true=truck         model_a=truck         model_b=airplane    
  #214  true=dog           model_a=dog           model_b=deer        
  #215  true=horse         model_a=horse         model_b=dog         
  #216  true=cat           model_a=cat           model_b=deer        
  #217  true=ship          model_a=dog           model_b=ship        
  #218  true=ship          model_a=ship          model_b=airplane    
  #219  true=bird          model_a=bird          model_b=horse       
  #220  true=deer          model_a=deer          model_b=dog         
  #221  true=truck         model_a=truck         model_b=automobile  
  #222  true=bird          model_a=dog           model_b=bird        
  #223  true=automobile    model_a=automobile    model_b=ship        
  #224  true=dog           model_a=dog           model_b=cat         
  #225  true=deer          model_a=deer          model_b=horse       
  #226  true=dog           model_a=dog           model_b=cat         
  #227  true=horse         model_a=horse         model_b=automobile  
  #228  true=truck         model_a=truck         model_b=automobile  
  #229  true=cat           model_a=dog           model_b=cat         
  #230  true=horse         model_a=horse         model_b=dog         
  #231  true=dog           model_a=cat           model_b=dog         
  #232  true=automobile    model_a=frog          model_b=automobile  
  #233  true=deer          model_a=deer          model_b=bird        
  #234  true=frog          model_a=frog          model_b=deer        
  #235  true=automobile    model_a=automobile    model_b=frog        
  #236  true=dog           model_a=cat           model_b=dog         
  #237  true=airplane      model_a=airplane      model_b=cat         
  #238  true=truck         model_a=truck         model_b=automobile  
  #239  true=ship          model_a=ship          model_b=airplane    
  #240  true=dog           model_a=bird          model_b=cat         
  #241  true=horse         model_a=horse         model_b=dog         
  #242  true=ship          model_a=ship          model_b=truck       
  #243  true=cat           model_a=frog          model_b=cat         
  #244  true=horse         model_a=horse         model_b=deer        
  #245  true=horse         model_a=horse         model_b=dog         
  #246  true=automobile    model_a=truck         model_b=automobile  
  #247  true=horse         model_a=horse         model_b=airplane    
  #248  true=frog          model_a=bird          model_b=frog        
  #249  true=cat           model_a=cat           model_b=dog         
  #250  true=dog           model_a=deer          model_b=dog         
  #251  true=ship          model_a=ship          model_b=frog        
  #252  true=horse         model_a=horse         model_b=cat         
  #253  true=frog          model_a=frog          model_b=dog         
  #254  true=airplane      model_a=automobile    model_b=airplane    
  #255  true=airplane      model_a=horse         model_b=airplane    
  #256  true=truck         model_a=automobile    model_b=truck       
  #257  true=automobile    model_a=truck         model_b=automobile  
  #258  true=horse         model_a=dog           model_b=horse       
  #259  true=dog           model_a=horse         model_b=dog         
  #260  true=horse         model_a=horse         model_b=dog         
  #261  true=truck         model_a=truck         model_b=automobile  
  #262  true=frog          model_a=frog          model_b=airplane    
  #263  true=deer          model_a=deer          model_b=truck       
  #264  true=airplane      model_a=airplane      model_b=bird        
  #265  true=ship          model_a=ship          model_b=truck       
  #266  true=truck         model_a=truck         model_b=airplane    
  #267  true=frog          model_a=dog           model_b=cat         
  #268  true=cat           model_a=cat           model_b=dog         
  #269  true=automobile    model_a=automobile    model_b=truck       
  #270  true=frog          model_a=deer          model_b=frog        
  #271  true=bird          model_a=frog          model_b=bird        
  #272  true=airplane      model_a=airplane      model_b=ship        
  #273  true=cat           model_a=cat           model_b=dog         
  #274  true=horse         model_a=dog           model_b=horse       
  #275  true=cat           model_a=cat           model_b=ship        
  #276  true=automobile    model_a=truck         model_b=automobile  
  #277  true=ship          model_a=airplane      model_b=ship        
  #278  true=truck         model_a=truck         model_b=automobile  
  #279  true=deer          model_a=deer          model_b=bird        
  #280  true=dog           model_a=dog           model_b=horse       
  #281  true=ship          model_a=airplane      model_b=ship        
  #282  true=cat           model_a=cat           model_b=automobile  
  #283  true=bird          model_a=deer          model_b=bird        
  #284  true=ship          model_a=airplane      model_b=ship        
  #285  true=horse         model_a=horse         model_b=dog         
  #286  true=frog          model_a=frog          model_b=truck       
  #287  true=dog           model_a=dog           model_b=horse       
  #288  true=bird          model_a=bird          model_b=dog         
  #289  true=dog           model_a=dog           model_b=cat         
  #290  true=ship          model_a=ship          model_b=automobile  
  #291  true=cat           model_a=cat           model_b=dog         
  #292  true=ship          model_a=bird          model_b=cat         
  #293  true=airplane      model_a=airplane      model_b=bird        
  #294  true=automobile    model_a=automobile    model_b=ship        
  #295  true=frog          model_a=frog          model_b=ship        
  #296  true=bird          model_a=bird          model_b=airplane    
  #297  true=horse         model_a=horse         model_b=dog         
  #298  true=bird          model_a=bird          model_b=deer        
  #299  true=ship          model_a=ship          model_b=airplane    
  #300  true=frog          model_a=frog          model_b=deer        

=======================================================
